gene,cell
SPAG1,Neuronal Stem Cells
SPAG16,Neuronal Stem Cells
SPAG17,Neuronal Stem Cells
SPAG6,Neuronal Stem Cells
SPAG8,Neuronal Stem Cells
SPAG92,Astrocytes
SPARC,Astrocytes
SPARC1,Neuronal Stem Cells
SPARC2,Endothelial Cells
SPARCL111,Endothelial Cells
SPARCL12,GABAergic Neurons
SPARCL15,Astrocytes
SPARCL16,Astrocytes
SPATA17,Neuronal Stem Cells
SPATA18,Neuronal Stem Cells
SPCS1,Excitatory Neurons
SPDYE3,Excitatory Neurons
SPDYE5,Excitatory Neurons
SPEF2,Neuronal Stem Cells
SPG11,Excitatory Neurons
SPHKAP,Pyramidal Neurons
SPHKAP1,Granule Neurons
SPI1,Microglia
SPOCK2,GABAergic Neurons
SPOCK21,Endothelial Cells
SPP1,Oligodendrocytes
SPP11,Oligodendrocytes
SPP12,Microglia
SPTAN1,GABAergic Neurons
SPTBN11,Endothelial Cells
SPTBN4,Pyramidal Neurons
SPTBN41,Pyramidal Neurons
SPTBN42,GABAergic Neurons
SRGAP2,Microglia
SRGAP3,Pyramidal Neurons
SRGN,Endothelial Cells
SRP14,Excitatory Neurons
SRP141,Endothelial Cells
SRPK1,Excitatory Neurons
SRRM1,Oligodendrocytes
SRRM2,Microglia
SRRM3,Pyramidal Neurons
SRRM31,Pyramidal Neurons
SRRM32,Pyramidal Neurons
SRRM33,Pyramidal Neurons
SRRM34,GABAergic Neurons
SRRM35,Granule Neurons
SRRM4,Pyramidal Neurons
SRRM41,GABAergic Neurons
SRRM42,GABAergic Neurons
SRSF11,Pyramidal Neurons
SRSF5,Pyramidal Neurons
ST18,Oligodendrocytes
ST181,Oligodendrocytes
STAT3,Endothelial Cells
STAT4,Excitatory Neurons
STEP4,Oligodendrocytes
STK33,Neuronal Stem Cells
STMN1,Excitatory Neurons
STMN2,Pyramidal Neurons
STOM,Endothelial Cells
STOML3,Neuronal Stem Cells
STXBP1,Pyramidal Neurons
STXBP11,Granule Neurons
STXBP5L,Pyramidal Neurons
STXBP5L1,Pyramidal Neurons
STXBP5L2,Pyramidal Neurons
SUB1,Excitatory Neurons
SUGP2,Granule Neurons
SUMF1,Excitatory Neurons
SUMF2,Excitatory Neurons
SUN2,Oligodendrocytes
SUSD4,Granule Neurons
SV2A,GABAergic Neurons
SV2A1,GABAergic Neurons
SVOP,Excitatory Neurons
SWAP70,Endothelial Cells
SYNE1,Pyramidal Neurons
SYNE11,Granule Neurons
SYNE12,Astrocytes
SYNE17,Neuronal Stem Cells
SYNE2,Neuronal Stem Cells
SYNE21,Endothelial Cells
SYNJ2,Oligodendrocytes
SYNM,Neuronal Stem Cells
SYNPR,GABAergic Neurons
SYP,Pyramidal Neurons
SYP1,Pyramidal Neurons
SYP2,GABAergic Neurons
SYT1,Pyramidal Neurons
SYT11,Pyramidal Neurons
SYT12,Pyramidal Neurons
SYT13,Pyramidal Neurons
SYT14,GABAergic Neurons
SYT15,GABAergic Neurons
SYT7,Pyramidal Neurons
SYTL2,Pyramidal Neurons
SYTL3,Microglia
SYTL4,Astrocytes
TAC1,GABAergic Neurons
TACC1,Endothelial Cells
TAF15,Excitatory Neurons
TAF7,Excitatory Neurons
TAGLN2,Endothelial Cells
TAOK3,GABAergic Neurons
TAOK31,Oligodendrocyte Precursor Cells
TARBP1,Pyramidal Neurons
TARBP11,Pyramidal Neurons
TBC1D4,Endothelial Cells
TCEAL2,Excitatory Neurons
TCEAL4,Inhibitory Neurons
TCEAL5,Excitatory Neurons
TCEAL7,Excitatory Neurons
TCEB1,Excitatory Neurons
TCF4,Pyramidal Neurons
TCF41,GABAergic Neurons
TCF42,GABAergic Neurons
TCN2,Endothelial Cells
TCTEX1D1,Neuronal Stem Cells
TCTN1,Neuronal Stem Cells
TEAD1,Neuronal Stem Cells
TEKT1,Neuronal Stem Cells
TENC1,Endothelial Cells
TERF2IP,GABAergic Neurons
TF1,Oligodendrocytes
TF2,Oligodendrocytes
TFRC,Endothelial Cells
TGFBR2,Endothelial Cells
TGM2,Endothelial Cells
THSD7A,GABAergic Neurons
THSD7A1,GABAergic Neurons
THY1,GABAergic Neurons
THY11,Granule Neurons
TIAM1,Granule Neurons
TIE1,Endothelial Cells
TIMP2,GABAergic Neurons
TIMP21,GABAergic Neurons
TIMP3,Endothelial Cells
TJP1,Endothelial Cells
TLE4,Granule Neurons
TLN1,Endothelial Cells
TLN2,Neuronal Stem Cells
TM4SF1,Endothelial Cells
TM7SF3,Excitatory Neurons
TMBIM6,Oligodendrocyte Precursor Cells
TMBIM61,Endothelial Cells
TMEM119,Microglia
TMEM123,Neuronal Stem Cells
TMEM1231,Endothelial Cells
TMEM130,GABAergic Neurons
TMEM1301,Granule Neurons
TMEM132B,GABAergic Neurons
TMEM144,Oligodendrocytes
TMEM1441,Oligodendrocytes
TMEM14A,Excitatory Neurons
TMEM165,Oligodendrocytes
TMEM1651,Oligodendrocytes
TMEM178A,Pyramidal Neurons
TMEM2,Endothelial Cells
TMEM231,Neuronal Stem Cells
TMEM232,Neuronal Stem Cells
TMEM241,Excitatory Neurons
TMEM47,Neuronal Stem Cells
TMEM59L,Granule Neurons
TMEM63A,Oligodendrocytes
TMEM63A1,Oligodendrocytes
TMEM66,GABAergic Neurons
TMEM67,Neuronal Stem Cells
TMF1,Neuronal Stem Cells
TMSB104,Endothelial Cells
TMSB4X,Pyramidal Neurons
TMSB4X3,Microglia
TMSB4X4,Endothelial Cells
TNFRSF25,Granule Neurons
TNIK,Astrocytes
TNIK1,Astrocytes
TNK2,Oligodendrocyte Precursor Cells
TNNT2,Granule Neurons
TNR,Oligodendrocyte Precursor Cells
TNS1,Endothelial Cells
TOB1,Astrocytes
TOB11,Neuronal Stem Cells
TOX4,Excitatory Neurons
TP53TG5,Oligodendrocytes
TPD52L1,Astrocytes
TPI1,Endothelial Cells
TPM1,Neuronal Stem Cells
TPM11,Endothelial Cells
TPM2,Pyramidal Neurons
TPM3,Endothelial Cells
TPM4,Endothelial Cells
TPPP3,Neuronal Stem Cells
TPT1,Endothelial Cells
TRANK1,GABAergic Neurons
TRAPPC13,Excitatory Neurons
TRDN,Neuronal Stem Cells
TRIL,Neuronal Stem Cells
TRIM2,Oligodendrocytes
TRIM21,Oligodendrocytes
TRIM9,Pyramidal Neurons
TRIM91,Pyramidal Neurons
TRIM92,Granule Neurons
TRMT10B,Excitatory Neurons
TRPS1,Neuronal Stem Cells
TSC22D1,Endothelial Cells
TSC22D3,Endothelial Cells
TSC22D4,Astrocytes
TSEN2,Excitatory Neurons
TSGA10,Neuronal Stem Cells
TSPAN14,Endothelial Cells
TSPAN3,Neuronal Stem Cells
TSPAN7,GABAergic Neurons
TSPYL2,GABAergic Neurons
TSPYL21,GABAergic Neurons
TSPYL22,Granule Neurons
TTC18,Neuronal Stem Cells
TTC21A,Neuronal Stem Cells
TTC26,Neuronal Stem Cells
TTC3,Pyramidal Neurons
TTC31,Pyramidal Neurons
TTC32,Pyramidal Neurons
TTC33,Granule Neurons
TTC40,Neuronal Stem Cells
TTC8,Excitatory Neurons
TTF1,Excitatory Neurons
TTLL74,Oligodendrocytes
TTLL75,Oligodendrocytes
TTYH1,Astrocytes
TTYH11,Astrocytes
TUBA1A1,Oligodendrocytes
TUBA1A2,Neuronal Stem Cells
TUBA1B,Pyramidal Neurons
TUBA1B7,Endothelial Cells
TUBA4A,Excitatory Neurons
TUBB,Endothelial Cells
TUBB2A,GABAergic Neurons
TUBB2B,Neuronal Stem Cells
TUBB3,Neurons
TUBB4B,Excitatory Neurons
TUBG2,Excitatory Neurons
TXNIP,Endothelial Cells
TYMP,Neuronal Stem Cells
UACA,Endothelial Cells
UBC,Astrocytes
UBC1,Neuronal Stem Cells
UBC2,Endothelial Cells
UBE2V2,Excitatory Neurons
UBL3,Neuronal Stem Cells
UCHL1,Pyramidal Neurons
UCHL11,Pyramidal Neurons
UCHL12,Granule Neurons
UNC13A,Pyramidal Neurons
UNC80,Pyramidal Neurons
UNC801,Pyramidal Neurons
UNC802,GABAergic Neurons
UPP1,GABAergic Neurons
UQCR10,Excitatory Neurons
UQCRB,Neuronal Stem Cells
UQCRC2,Excitatory Neurons
UQCRH,Excitatory Neurons
USP11,GABAergic Neurons
UTRN,Endothelial Cells
VAMP5,Endothelial Cells
VCAN,Astrocytes
VCAN1,Oligodendrocyte Precursor Cells
VDAC3,Excitatory Neurons
VEZF1,Neuronal Stem Cells
VIM,Neuronal Stem Cells
VIM1,Endothelial Cells
VIP,GABAergic Neurons
VPS13A,Pyramidal Neurons
VSNL1,Pyramidal Neurons
VSTM2A,GABAergic Neurons
VWA1,Oligodendrocytes
VWA3A,Neuronal Stem Cells
VWA3B,Neuronal Stem Cells
VWA5B2,Granule Neurons
VWF,Endothelial Cells
WASF1,Pyramidal Neurons
WASF11,Granule Neurons
WDR16,Neuronal Stem Cells
WDR19,Neuronal Stem Cells
WDR49,Neuronal Stem Cells
WDR52,Neuronal Stem Cells
WDR60,Pyramidal Neurons
WDR604,Neuronal Stem Cells
WDR61,Excitatory Neurons
WDR63,Neuronal Stem Cells
WDR65,Neuronal Stem Cells
WDR66,Neuronal Stem Cells
WDR78,Neuronal Stem Cells
WDR93,Neuronal Stem Cells
WDR96,Neuronal Stem Cells
WIPF3,Pyramidal Neurons
WIPF31,Pyramidal Neurons
WLS,Neuronal Stem Cells
WSB1,Excitatory Neurons
WSB12,Oligodendrocytes
WWC1,Neuronal Stem Cells
WWTR1,Endothelial Cells
XAF1,Microglia
XAF11,Endothelial Cells
XKR4,GABAergic Neurons
XPO4,Excitatory Neurons
XRCC6,Excitatory Neurons
YBX3,Neuronal Stem Cells
YBX31,Endothelial Cells
YJEFN3,Granule Neurons
YWHAB,Pyramidal Neurons
YWHAH,Pyramidal Neurons
YWHAH1,Granule Neurons
YWHAZ,Pyramidal Neurons
ZBBX,Neuronal Stem Cells
ZBTB20,Granule Neurons
ZBTB201,Astrocytes
ZBTB38,Endothelial Cells
ZC3H13,Pyramidal Neurons
ZEB1,Endothelial Cells
ZEB2,Oligodendrocytes
ZEB21,Oligodendrocytes
ZFAND5,Astrocytes
ZFP36,Neuronal Stem Cells
ZFP361,Endothelial Cells
ZFP36L1,Astrocytes
ZFP36L11,Astrocytes
ZFP36L12,Microglia
ZFP36L13,Neuronal Stem Cells
ZFP36L14,Endothelial Cells
ZFP36L2,Microglia
ZFP36L21,Neuronal Stem Cells
ZFYVE16,Oligodendrocytes
ZFYVE161,Oligodendrocytes
ZIC2,Granule Neurons
ZKSCAN1,Oligodendrocytes
ZMAT1,Astrocytes
ZMAT11,Astrocytes
ZMAT12,Neuronal Stem Cells
ZMYND10,Neuronal Stem Cells
ZMYND8,Granule Neurons
ZNF273,Granule Neurons
ZNF2731,Neuronal Stem Cells
ZNF292,GABAergic Neurons
ZNF385D,GABAergic Neurons
ZNF385D1,GABAergic Neurons
ZNF428,Excitatory Neurons
ZNF565,Excitatory Neurons
ZNF667,Pyramidal Neurons
ZNF708,Oligodendrocytes
ZNF91,Pyramidal Neurons
ZRANB3,Excitatory Neurons
ZSCAN18,Excitatory Neurons
